genre,title,artist,album,popularity,spotify_url
Pop,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",Popular (Music from the HBO Original Series),82,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG
Pop,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,100,https://open.spotify.com/track/53iuhJlwXhSER5J2IYYv1W
Pop,back to friends,sombr,back to friends,93,https://open.spotify.com/track/0FTmksd2dxiE5e3rWyJXs6
Pop,Ruin The Friendship,Taylor Swift,The Life of a Showgirl,93,https://open.spotify.com/track/62V2ZHslgQV98gH4AuVXnr
Pop,The Subway,Chappell Roan,The Subway,88,https://open.spotify.com/track/2SsY5k7UWFqgye3PUMG3Oq
Pop,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,91,https://open.spotify.com/track/0je57Uq5eTk1wrPzn9sWbl
Pop,Actually Romantic,Taylor Swift,The Life of a Showgirl,94,https://open.spotify.com/track/2x3mwb96B6TquRqMtbxUE1
Pop,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",89,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu
Pop,Gabriela,KATSEYE,Gabriela,93,https://open.spotify.com/track/1xOqGUkyxGQRdCvGpvWKmL
Pop,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie),90,https://open.spotify.com/track/2yWlGEgEfPot0lv3OAjuG3
Pop,No One Noticed,The Marías,Submarine,90,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5
Pop,Honey,Taylor Swift,The Life of a Showgirl,92,https://open.spotify.com/track/4qmFC3Jz5aQ0erlk2OSi2X
Pop,Free,"Rumi, Jinu, EJAE, Andrew Choi, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),92,https://open.spotify.com/track/5DxDLsW6PsLz5gkwC7Mk5S
Pop,Nobody’s Son,Sabrina Carpenter,Man’s Best Friend,89,https://open.spotify.com/track/4SRShYMtFIGgnOU7iBicMH
Pop,House Tour,Sabrina Carpenter,Man’s Best Friend,87,https://open.spotify.com/track/25jgQBxuUkGDdCG1WGKKN9
Pop,Man I Need,Olivia Dean,Man I Need,95,https://open.spotify.com/track/1qbmS6ep2hbBRaEZFpn7BX
Pop,Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),92,https://open.spotify.com/track/0MHStU0muAIEMbwdnebYu2
Pop,Tears,Sabrina Carpenter,Man’s Best Friend,92,https://open.spotify.com/track/42VUCXerQ5qTr4Qp6PhKo4
Pop,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),93,https://open.spotify.com/track/3RXUgPNIbUgFxsDWuBQEt6
